name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Homunculus imago	|	244265	|	synonym	|	Homunculus imago (synonym for Mammalia)	|	gbif:359	|	
Phoca aegyptiaca subsp. antiqua	|	244265	|	synonym	|	Phoca aegyptiaca subsp. antiqua (synonym for Mammalia)	|	gbif:359	|	
Lambdaconus suinus	|	244265	|	synonym	|	Lambdaconus suinus (synonym for Mammalia)	|	gbif:359	|	
Anagonia insulata	|	244265	|	synonym	|	Anagonia insulata (synonym for Mammalia)	|	gbif:359	|	
Bryopsida	|	246594	|	synonym	|	Bryopsida (synonym for Bryophyta)	|	ncbi:3208	|	
Musci	|	246594	|	synonym	|	Musci (synonym for Bryophyta)	|	ncbi:3208,gbif:35	|	
Hymenocallis georgiana	|	258473	|	synonym	|	Hymenocallis georgiana (synonym for Amaryllidaceae)	|	gbif:7682	|	
Agapanthaceae	|	258473	|	synonym	|	Agapanthaceae (synonym for Amaryllidaceae)	|	gbif:7682,irmng:119252	|	
Cepaceae	|	258473	|	synonym	|	Cepaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Cyrtanthaceae	|	258473	|	synonym	|	Cyrtanthaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Pancratiaceae	|	258473	|	synonym	|	Pancratiaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Gilliesiaceae	|	258473	|	synonym	|	Gilliesiaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Galanthaceae	|	258473	|	synonym	|	Galanthaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Haemanthaceae	|	258473	|	synonym	|	Haemanthaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Oporanthaceae	|	258473	|	synonym	|	Oporanthaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Strumariaceae	|	258473	|	synonym	|	Strumariaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Zephyranthaceae	|	258473	|	synonym	|	Zephyranthaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Leucojaceae	|	258473	|	synonym	|	Leucojaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Gethyllidaceae	|	258473	|	synonym	|	Gethyllidaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Tulbaghiaceae	|	258473	|	synonym	|	Tulbaghiaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Brunsvigiaceae	|	258473	|	synonym	|	Brunsvigiaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Narcissaceae	|	258473	|	synonym	|	Narcissaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Alliaceae	|	258473	|	synonym	|	Alliaceae (synonym for Amaryllidaceae)	|	gbif:7682,irmng:119252	|	
Milulaceae	|	258473	|	synonym	|	Milulaceae (synonym for Amaryllidaceae)	|	gbif:7682	|	
Heterokonta	|	266745	|	synonym	|	Heterokonta (synonym for Stramenopiles)	|	ncbi:33634,worms:368898	|	
Straminipila	|	266745	|	synonym	|	Straminipila (synonym for Stramenopiles)	|	ncbi:33634	|	
Heterokontophyta	|	266745	|	synonym	|	Heterokontophyta (synonym for Stramenopiles)	|	irmng:118	|	
Camarellidae	|	2933645	|	synonym	|	Camarellidae (synonym for Camerellidae)	|	gbif:4867458	|	
Camarella	|	2934022	|	synonym	|	Camarella (synonym for Camerella)	|	gbif:4867475	|	
Ciliata	|	302424	|	synonym	|	Ciliata (synonym for Ciliophora (phylum in subkingdom SAR))	|	ncbi:5878	|	
Eukarya	|	304358	|	synonym	|	Eukarya (synonym for Eukaryota)	|	ncbi:2759	|	
D4P07G08	|	304358	|	proparte synonym	|	D4P07G08 (synonym for Eukaryota)	|	silva:D11377/#1	|	
DH147-EKD10	|	304358	|	proparte synonym	|	DH147-EKD10 (synonym for Eukaryota)	|	silva:D11377/#1	|	
LG25-05	|	304358	|	proparte synonym	|	LG25-05 (synonym for Eukaryota)	|	silva:D11377/#1	|	
NAMAKO-1	|	304358	|	proparte synonym	|	NAMAKO-1 (synonym for Eukaryota)	|	silva:D11377/#1	|	
RT5iin25	|	304358	|	proparte synonym	|	RT5iin25 (synonym for Eukaryota)	|	silva:D11377/#1	|	
SA1-3C06	|	304358	|	proparte synonym	|	SA1-3C06 (synonym for Eukaryota)	|	silva:D11377/#1	|	
DH147-EKD23	|	304358	|	proparte synonym	|	DH147-EKD23 (synonym for Eukaryota)	|	silva:D11377/#1	|	
Eucaryotae	|	304358	|	synonym	|	Eucaryotae (synonym for Eukaryota)	|	ncbi:2759	|	
Eukaryotae	|	304358	|	synonym	|	Eukaryotae (synonym for Eukaryota)	|	ncbi:2759	|	
Diapsida	|	329823	|	synonym	|	Diapsida (synonym for Sauria (order in Opisthokonta))	|	ncbi:32561	|	
Fungi/Metazoa group	|	332573	|	synonym	|	Fungi/Metazoa group (synonym for Opisthokonta)	|	ncbi:33154	|	
opisthokonts	|	332573	|	synonym	|	opisthokonts (synonym for Opisthokonta)	|	ncbi:33154	|	
Eumycota	|	352914	|	synonym	|	Eumycota (synonym for Fungi)	|	worms:4	|	
Viridiplantae	|	361838	|	synonym	|	Viridiplantae (synonym for Chloroplastida)	|	silva:D13324/#3,ncbi:33090	|	
Chlorobionta	|	361838	|	synonym	|	Chlorobionta (synonym for Chloroplastida)	|	ncbi:33090	|	
Chlorophyta/Embryophyta group	|	361838	|	synonym	|	Chlorophyta/Embryophyta group (synonym for Chloroplastida)	|	ncbi:33090	|	
chlorophyte/embryophyte group	|	361838	|	synonym	|	chlorophyte/embryophyte group (synonym for Chloroplastida)	|	ncbi:33090	|	
Nemata	|	395057	|	synonym	|	Nemata (synonym for Nematoda)	|	ncbi:6231,worms:799	|	
Asterothamnus	|	409712	|	synonym	|	Asterothamnus (synonym for Aster)	|	gbif:3093921	|	
Baccharidopsis	|	409712	|	synonym	|	Baccharidopsis (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Leucosyris	|	409712	|	synonym	|	Leucosyris (synonym for Aster)	|	gbif:3093921	|	
Crinitina	|	409712	|	synonym	|	Crinitina (synonym for Aster)	|	gbif:3093921	|	
Bellidiastrum	|	409712	|	synonym	|	Bellidiastrum (synonym for Aster)	|	gbif:3093921,irmng:1355106,irmng:1080732	|	
Virgulaster	|	409712	|	synonym	|	Virgulaster (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Chlamydites	|	409712	|	synonym	|	Chlamydites (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Heteropappus	|	409712	|	synonym	|	Heteropappus (synonym for Aster)	|	gbif:3093921	|	
Oreostemma	|	409712	|	synonym	|	Oreostemma (synonym for Aster)	|	gbif:3093921	|	
Triniteurybia	|	409712	|	synonym	|	Triniteurybia (synonym for Aster)	|	gbif:3093921	|	
Conyzanthus	|	409712	|	synonym	|	Conyzanthus (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Bellidastrum	|	409712	|	synonym	|	Bellidastrum (synonym for Aster)	|	gbif:3093921	|	
Borkonstia	|	409712	|	synonym	|	Borkonstia (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Almutaster	|	409712	|	synonym	|	Almutaster (synonym for Aster)	|	gbif:3093921	|	
Heterochaeta	|	409712	|	synonym	|	Heterochaeta (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Ampelaster	|	409712	|	synonym	|	Ampelaster (synonym for Aster)	|	gbif:3093921	|	
Lasallea	|	409712	|	synonym	|	Lasallea (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Eurybia	|	409712	|	synonym	|	Eurybia (synonym for Aster)	|	gbif:3093921	|	
Canadanthus	|	409712	|	synonym	|	Canadanthus (synonym for Aster)	|	gbif:3093921	|	
Weberaster	|	409712	|	synonym	|	Weberaster (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Kitamuraster	|	409712	|	synonym	|	Kitamuraster (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Kitamuraea	|	409712	|	synonym	|	Kitamuraea (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Amphirhapis	|	409712	|	synonym	|	Amphirhapis (synonym for Aster)	|	gbif:3093921	|	
Baccharidiopsis	|	409712	|	synonym	|	Baccharidiopsis (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Oreastrum	|	409712	|	synonym	|	Oreastrum (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Asteromoea	|	409712	|	synonym	|	Asteromoea (synonym for Aster)	|	gbif:3093921,irmng:1375618	|	
Arctogeron	|	409712	|	synonym	|	Arctogeron (synonym for Aster)	|	gbif:3093921	|	
Miyamayomena	|	409712	|	synonym	|	Miyamayomena (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Sericocarpus	|	409712	|	synonym	|	Sericocarpus (synonym for Aster)	|	gbif:3093921	|	
Wardaster	|	409712	|	synonym	|	Wardaster (synonym for Aster)	|	gbif:3093921,irmng:1355106	|	
Eucephalus	|	409712	|	synonym	|	Eucephalus (synonym for Aster)	|	gbif:3093921	|	
Doellingeria	|	409712	|	synonym	|	Doellingeria (synonym for Aster)	|	gbif:3093921	|	
Biotia	|	409712	|	synonym	|	Biotia (synonym for Aster)	|	gbif:3093921	|	
Chloracantha	|	409712	|	synonym	|	Chloracantha (synonym for Aster)	|	gbif:3093921	|	
Ionactis	|	409712	|	synonym	|	Ionactis (synonym for Aster)	|	gbif:3093921	|	
Afroaster	|	409712	|	synonym	|	Afroaster (synonym for Aster)	|	gbif:3093921	|	
Oclemena	|	409712	|	synonym	|	Oclemena (synonym for Aster)	|	gbif:3093921	|	
Crinitaria	|	409712	|	synonym	|	Crinitaria (synonym for Aster)	|	irmng:1355106	|	
Linosyris	|	409712	|	synonym	|	Linosyris (synonym for Aster)	|	irmng:1355106	|	
Galatella	|	409712	|	synonym	|	Galatella (synonym for Aster)	|	irmng:1355106	|	
Ascomycotina	|	439373	|	synonym	|	Ascomycotina (synonym for Ascomycota)	|	worms:21891	|	
Compositae	|	46248	|	synonym	|	Compositae (synonym for Asteraceae)	|	ncbi:4210,gbif:6070956,irmng:114753	|	
Senecionaceae	|	46248	|	synonym	|	Senecionaceae (synonym for Asteraceae)	|	gbif:3065	|	
Aposeridaceae	|	46248	|	synonym	|	Aposeridaceae (synonym for Asteraceae)	|	gbif:3065	|	
Anthemidaceae	|	46248	|	synonym	|	Anthemidaceae (synonym for Asteraceae)	|	gbif:3065	|	
Partheniaceae	|	46248	|	synonym	|	Partheniaceae (synonym for Asteraceae)	|	gbif:3065	|	
Eupatoriaceae	|	46248	|	synonym	|	Eupatoriaceae (synonym for Asteraceae)	|	gbif:3065	|	
Helichrysaceae	|	46248	|	synonym	|	Helichrysaceae (synonym for Asteraceae)	|	gbif:3065	|	
Acarnaceae	|	46248	|	synonym	|	Acarnaceae (synonym for Asteraceae)	|	gbif:3065	|	
Vernoniaceae	|	46248	|	synonym	|	Vernoniaceae (synonym for Asteraceae)	|	gbif:3065	|	
Coreopsidaceae	|	46248	|	synonym	|	Coreopsidaceae (synonym for Asteraceae)	|	gbif:3065	|	
Cynaraceae	|	46248	|	synonym	|	Cynaraceae (synonym for Asteraceae)	|	gbif:3065	|	
Echinopaceae	|	46248	|	synonym	|	Echinopaceae (synonym for Asteraceae)	|	gbif:3065	|	
Ambrosiaceae	|	46248	|	synonym	|	Ambrosiaceae (synonym for Asteraceae)	|	gbif:3065	|	
Calendulaceae	|	46248	|	synonym	|	Calendulaceae (synonym for Asteraceae)	|	gbif:3065	|	
Inulaceae	|	46248	|	synonym	|	Inulaceae (synonym for Asteraceae)	|	gbif:3065	|	
Perdiciaceae	|	46248	|	synonym	|	Perdiciaceae (synonym for Asteraceae)	|	gbif:3065	|	
Cassiniaceae	|	46248	|	synonym	|	Cassiniaceae (synonym for Asteraceae)	|	gbif:3065	|	
Athanasiaceae	|	46248	|	synonym	|	Athanasiaceae (synonym for Asteraceae)	|	gbif:3065	|	
Arctotidaceae	|	46248	|	synonym	|	Arctotidaceae (synonym for Asteraceae)	|	gbif:3065	|	
Mutisiaceae	|	46248	|	synonym	|	Mutisiaceae (synonym for Asteraceae)	|	gbif:3065	|	
Artemisiaceae	|	46248	|	synonym	|	Artemisiaceae (synonym for Asteraceae)	|	gbif:3065	|	
Carduaceae	|	46248	|	synonym	|	Carduaceae (synonym for Asteraceae)	|	gbif:3065	|	
Cichoriaceae	|	46248	|	synonym	|	Cichoriaceae (synonym for Asteraceae)	|	gbif:3065	|	
Lactucaceae	|	46248	|	synonym	|	Lactucaceae (synonym for Asteraceae)	|	gbif:3065	|	
Archosauria-Testudines	|	4947372	|	synonym	|	Archosauria-Testudines (synonym for Archelosauria)	|	ncbi:1329799	|	
Testudines + Archosauria group	|	4947372	|	synonym	|	Testudines + Archosauria group (synonym for Archelosauria)	|	ncbi:1329799	|	
Podurites saltator	|	511967	|	synonym	|	Podurites saltator (synonym for Arachnida)	|	gbif:367	|	
Acarus resinosus	|	511967	|	synonym	|	Acarus resinosus (synonym for Arachnida)	|	gbif:367	|	
Arthrolycosa prolifera	|	511967	|	synonym	|	Arthrolycosa prolifera (synonym for Arachnida)	|	gbif:367	|	
Harosa	|	5246039	|	synonym	|	Harosa (synonym for SAR)	|	worms:582419	|	
Plantae	|	5268475	|	synonym	|	Plantae (synonym for Archaeplastida)	|	worms:3,gbif:6,irmng:15	|	
Blatta hyperborea	|	5268475	|	synonym	|	Blatta hyperborea (synonym for Archaeplastida)	|	gbif:6	|	
Euphemerites	|	5268475	|	synonym	|	Euphemerites (synonym for Archaeplastida)	|	gbif:6	|	
Curculionites costulatus	|	5268475	|	synonym	|	Curculionites costulatus (synonym for Archaeplastida)	|	gbif:6	|	
Donacia smithiana	|	5268475	|	synonym	|	Donacia smithiana (synonym for Archaeplastida)	|	gbif:6	|	
Archelytron priscus	|	5268475	|	synonym	|	Archelytron priscus (synonym for Archaeplastida)	|	gbif:6	|	
